VoteChoice,Keywords
Dharam service is Good,"[('dharam', 0.6345), ('service', 0.4192), ('good', 0.1393)]"
Thenx geeta,"[('geeta', 0.7786), ('thenx', 0.5831)]"
very nice and good,"[('nice', 0.4598), ('good', 0.4235)]"
Vinay service good,"[('vinay', 0.7175), ('service', 0.5274), ('good', 0.2242)]"
Ishika verma very nice service,"[('ishika', 0.5938), ('verma', 0.5124), ('service', 0.4236)]"
No complaints overall amazing   ,"[('complaints', 0.6071), ('amazing', 0.4057), ('overall', 0.3673)]"
Good,"[('good', 1.0)]"
Good,"[('good', 1.0)]"
More color options ,"[('color', 0.6381), ('options', 0.5271)]"
Good ,"[('good', 1.0)]"
Good shop,"[('shop', 0.778), ('good', 0.3008)]"
Good service satya,"[('satya', 0.7791), ('service', 0.4955), ('good', 0.2247)]"
All time good service ,"[('service', 0.5375), ('time', 0.3287), ('good', 0.2784)]"
Good,"[('good', 1.0)]"
Good ,"[('good', 1.0)]"
Good ,"[('good', 1.0)]"
Good,"[('good', 1.0)]"
Happy,"[('happy', 1.0)]"
Good collection ,"[('collection', 0.7376), ('good', 0.3926)]"
mo need to improve arjun hagade ja best person in levies 4 th lane rajarampuri kolhapur hats off for this man ?? ,"[('arjun', 0.6255), ('rajarampuri', 0.4415), ('kolhapur', 0.4125)]"
Best service  ,"[('service', 0.7333), ('best', 0.5849)]"
Nice ,"[('nice', 1.0)]"
"Amazing stuff and fit, loved it ","[('fit', 0.4145), ('loved', 0.3204), ('amazing', 0.3033)]"
"Make variable products, Sustainability Initiatives, Enhanced Online Experience, Expanding loyalty rewards and creating exclusive member benefits could encourage repeat business, Creating engaging in-store experiences, such as interactive displays or styling sessions, could attract more customers.","[('benefits', 0.5305), ('rewards', 0.416), ('customers', 0.3916)]"
. ,[]
Excellent ,"[('excellent', 1.0)]"
"Service was great. The staff was prompt, alert and agile. They understood the brief correctly and delivered cogently.  Shefali and Faizan, both are promising and reliant. Their service is thoroughly appreciated. ","[('faizan', 0.4214), ('agile', 0.4208), ('staff', 0.4185)]"
Good ??????,"[('good', 0.4801)]"
The Service is good product and excellence ,"[('excellence', 0.5845), ('service', 0.549), ('product', 0.2871)]"
Experience was good. This is my first experience at Levis.  ,"[('levis', 0.5135), ('experience', 0.481), ('good', 0.1448)]"
Nothing ,[]
Very good service by keval,"[('keval', 0.5151), ('service', 0.4767), ('good', 0.198)]"
Nice ,"[('nice', 1.0)]"
Very good. Margao 2 ,"[('margao', 0.6828), ('good', 0.319)]"
Nice,"[('nice', 1.0)]"
Offers should be given for 3000/- above,"[('3000', 0.5994), ('offers', 0.5798), ('given', 0.2416)]"
Good,"[('good', 1.0)]"
Good S.M. Jyoti  ,"[('jyoti', 0.7458), ('good', 0.304)]"
Good service satya,"[('satya', 0.7791), ('service', 0.4955), ('good', 0.2247)]"
Best store ever and staff also best,"[('staff', 0.4614), ('store', 0.4321), ('best', 0.3301)]"
Everything was good,"[('good', 0.4541)]"
Good service ,"[('service', 0.6827), ('good', 0.4384)]"
Very good,"[('good', 0.7071)]"
I just want to thank Vipul he was very kind and helpful and top notch customer handling skills much appreciated..keep up the good work !!,"[('customer', 0.3928), ('vipul', 0.3443), ('appreciated', 0.282)]"
Excellent service and  staff was very helpful ,"[('service', 0.5041), ('staff', 0.4601), ('helpful', 0.3761)]"
It was superb experience to shop with Levi's thankyou prachi for helping a lot bless you ,"[('levi', 0.4541), ('prachi', 0.373), ('shop', 0.3449)]"
Great service,"[('service', 0.6395), ('great', 0.4811)]"
"Levi is always known for its authenticity and product quality, it’s just that the variety of sizes aren’t available specially in the polo tshirt section. The customer experience is really good where Nishant Aujla is so polite and helpful. He not only suggests the colour but also the type of fabric and other attributes about a particular outfit.","[('levi', 0.4961), ('tshirt', 0.4333), ('polo', 0.3723)]"
Good,"[('good', 1.0)]"
Best ever shopping ??,"[('shopping', 0.6112), ('best', 0.3641)]"
AC,"[('ac', 1.0)]"
Nice,"[('nice', 1.0)]"
Good service,"[('service', 0.6827), ('good', 0.4384)]"
Ok,"[('ok', 1.0)]"
Very good,"[('good', 0.7071)]"
Introduce offers and discounts during festive seasons,"[('discounts', 0.5743), ('festive', 0.5251), ('seasons', 0.4591)]"
Cooperative staff  Did great job,"[('cooperative', 0.6379), ('staff', 0.4996), ('job', 0.2386)]"
Good  ,"[('good', 1.0)]"
Nice,"[('nice', 1.0)]"
Good ,"[('good', 1.0)]"
Good,"[('good', 1.0)]"
good,"[('good', 1.0)]"
Delivery arrangement was denied to deliver at home.,"[('delivery', 0.4048), ('denied', 0.4046), ('deliver', 0.3804)]"
Awesome service ,"[('service', 0.6712), ('awesome', 0.5206)]"
Thanks Sanjay & Renuka,"[('sanjay', 0.7403), ('renuka', 0.5564), ('thanks', 0.2216)]"
Rubina was really helpful ,"[('rubina', 0.6692), ('helpful', 0.3412), ('really', 0.1865)]"
Need to see more     ,"[('need', 0.4817)]"
Good services ,"[('services', 0.7509), ('good', 0.3048)]"
Nice service ,"[('service', 0.607), ('nice', 0.401)]"
Service is excellent.,"[('service', 0.6372), ('excellent', 0.3788)]"
Thanks ,"[('thanks', 1.0)]"
Good service satya,"[('satya', 0.7791), ('service', 0.4955), ('good', 0.2247)]"
Good service satya,"[('satya', 0.7791), ('service', 0.4955), ('good', 0.2247)]"
Ajaz - Nice,"[('ajaz', 0.7583), ('nice', 0.2918)]"
U Huntington,"[('huntington', 0.8472)]"
Nic service ,"[('nic', 0.7535), ('service', 0.4856)]"
Nic service Margao 2,"[('nic', 0.5807), ('margao', 0.4851), ('service', 0.3791)]"
Great service by Satya ,"[('satya', 0.6037), ('service', 0.4427), ('great', 0.2195)]"
Good ,"[('good', 1.0)]"
Best service by mr shubham,"[('shubham', 0.6665), ('service', 0.4753), ('mr', 0.2735)]"
Good ,"[('good', 1.0)]"
Good,"[('good', 1.0)]"
Good,"[('good', 1.0)]"
Best to best Serbia store Levi’s  Yagnik Rajkot  store  thank you so mush,"[('yagnik', 0.4305), ('serbia', 0.4191), ('store', 0.4084)]"
Excellent ,"[('excellent', 1.0)]"
Jayesh was very  helpful ,"[('jayesh', 0.657), ('helpful', 0.4131)]"
It’s always a pleasUre coming to this store,"[('pleasure', 0.4449), ('store', 0.4231), ('coming', 0.2994)]"
Good,"[('good', 1.0)]"
"All good, keep it up ","[('good', 0.2971)]"
Sumera nice service ,"[('sumera', 0.6814), ('service', 0.5122), ('nice', 0.2225)]"
Very Professional and polite.,"[('polite', 0.6577), ('professional', 0.5895)]"
Good,"[('good', 1.0)]"
Very good ,"[('good', 0.7071)]"
Very good ,"[('good', 0.7071)]"
Good,"[('good', 1.0)]"
Things are fine. But may be a bit more variety on the boot cut collection. Great service by the team. ,"[('boot', 0.432), ('fine', 0.2756), ('great', 0.2431)]"
"Great service from Asha very customer centric knows  the range well, promot to suggest  options ","[('range', 0.4887), ('asha', 0.3661), ('service', 0.2933)]"
Price????,"[('price', 0.7474)]"
Nice collection ,"[('collection', 0.6719), ('nice', 0.4632)]"
Grt service ,"[('grt', 0.8079), ('service', 0.539)]"
Very good quality ,"[('quality', 0.7182), ('good', 0.3665)]"
Nice & Supportive Staff with Good Knowledge ,"[('staff', 0.6326), ('knowledge', 0.4307), ('supportive', 0.3934)]"
Some diffrent type of store to be storage so that some people like his /her favourite style. Thanks,"[('storage', 0.6443), ('store', 0.6285), ('type', 0.1905)]"
Good,"[('good', 1.0)]"
Nice  levi’s exclusive got complete selection ,"[('levi', 0.5823), ('exclusive', 0.4846), ('selection', 0.3978)]"
"New styles and trends are amazing, just like the staff members","[('styles', 0.4979), ('staff', 0.4318), ('trends', 0.4152)]"
To give discount to regular customers ,"[('discount', 0.6854), ('customers', 0.5626), ('regular', 0.256)]"
Pricing could be a bit low,"[('pricing', 0.5682), ('low', 0.4009), ('bit', 0.152)]"
Your product is very good very nice ??  ,"[('product', 0.4949), ('good', 0.2481), ('nice', 0.2172)]"
"Bablu is a very good sales person ?? ??   Bablu has given a lot of advice, he has a lot of knowledge, he gives suggestion and also talks well with the customer. I m very happy bablu for your service, thank you so much  God bless you ?? ","[('bablu', 0.5433), ('sales', 0.4266), ('customer', 0.3718)]"
Better options,"[('options', 0.8187), ('better', 0.5157)]"
Thanks.,"[('thanks', 0.818)]"
Sales executive Rajesh was excellent.,"[('rajesh', 0.5715), ('sales', 0.4047), ('executive', 0.4018)]"
Good sales staff like Shefali,"[('shefali', 0.6281), ('sales', 0.4474), ('staff', 0.4433)]"
Nothing just maintenance your brand value.,"[('brand', 0.562), ('maintenance', 0.5405), ('value', 0.3841)]"
"Nothing ,everything was great ,nice experience ??????","[('experience', 0.371), ('great', 0.1955), ('nice', 0.1944)]"
Ravi & Kritika were very helpful and considerate. It was a really pleasant shopping experience. ,"[('kritika', 0.4143), ('shopping', 0.3431), ('ravi', 0.3203)]"
No ,[]
Good ,"[('good', 1.0)]"
Good ??????,"[('good', 0.4801)]"
Nothing ,[]
Excellent service ,"[('service', 0.6481), ('excellent', 0.5238)]"
Good,"[('good', 1.0)]"
Good staff,"[('staff', 0.8343), ('good', 0.3102)]"
Staff was perfect !  ,"[('staff', 0.7124), ('perfect', 0.2331)]"
Good service Satya ,"[('satya', 0.7791), ('service', 0.4955), ('good', 0.2247)]"
Excellent  ,"[('excellent', 1.0)]"
Asha was very good.. very happy with the service ,"[('asha', 0.6234), ('service', 0.3221), ('good', 0.1722)]"
Good ,"[('good', 1.0)]"
Best,"[('best', 1.0)]"
Keep variety ,"[('variety', 0.8044)]"
Thbxxxx ,"[('thbxxxx', 1.0)]"
More regular sales/ offers if possible ,"[('offers', 0.5676), ('sales', 0.5483), ('regular', 0.3812)]"
All good,"[('good', 0.4393)]"
Everything is absolutely amazing,"[('amazing', 0.3944), ('absolutely', 0.2024)]"
G ,[]
Sooo nice ,"[('nice', 0.7049), ('sooo', 0.5225)]"
Everything good ,"[('good', 0.5688)]"
Good  ,"[('good', 1.0)]"
Thankyou prachi for making my shopping joyful. I would suggest all my closers to visit levis located in pheonix mall kurla store was well set and clean 10/10 ,"[('mall', 0.3408), ('prachi', 0.3335), ('levis', 0.2878)]"
All good,"[('good', 0.4393)]"
Ok,"[('ok', 1.0)]"
Good staff and manager sagar and mansoor given best service ,"[('mansoor', 0.5065), ('staff', 0.4919), ('sagar', 0.4806)]"
Good,"[('good', 1.0)]"
Excellent service by dharam ,"[('dharam', 0.683), ('service', 0.4648), ('excellent', 0.293)]"
Nice,"[('nice', 1.0)]"
Just keep  more good collection ,"[('collection', 0.7005), ('just', 0.2558), ('good', 0.1681)]"
Shefali helped a lot. Great staff.,"[('shefali', 0.5872), ('staff', 0.4819), ('helped', 0.2463)]"
Good ,"[('good', 1.0)]"
Staff  behaviour is very helpfull & good ,"[('staff', 0.6275), ('behaviour', 0.3788), ('helpfull', 0.2784)]"
Excellent service by Daksha and team,"[('daksha', 0.6464), ('service', 0.4961), ('team', 0.232)]"
Nice ,"[('nice', 1.0)]"
All good ,"[('good', 0.4393)]"
It was amazing experience!,"[('experience', 0.4803), ('amazing', 0.304)]"
Good ,"[('good', 1.0)]"
All good,"[('good', 0.4393)]"
Good ?? ,"[('good', 0.6013)]"
Good ,"[('good', 1.0)]"
Very good collection & good service also by Rubina ,"[('collection', 0.4614), ('rubina', 0.425), ('service', 0.2558)]"
Amazing experience  and quick checkout!,"[('checkout', 0.4823), ('experience', 0.3268), ('amazing', 0.2443)]"
Good,"[('good', 1.0)]"
Raxenukakx Thenku,"[('raxenukakx', 0.8304), ('thenku', 0.6459)]"
Products are excellent in fitting and feeling. Staff are courteous in general and Ms Supriya in particular.  Ambience of the outlet is good. ,"[('ambience', 0.3421), ('supriya', 0.3047), ('outlet', 0.2978)]"
Great Experience Nice staff ??,"[('staff', 0.6157), ('experience', 0.3911), ('great', 0.1828)]"
Location and ambience of the shop is good. Staff behavior is excellent. Product is found very satisfactory. ,"[('shop', 0.4979), ('ambience', 0.4894), ('location', 0.4508)]"
Nice  ,"[('nice', 1.0)]"
Ziyan good service given   ,"[('ziyan', 0.7305), ('service', 0.5299), ('given', 0.2544)]"
Excellent ,"[('excellent', 1.0)]"
Service good and staff is very nice nature ,"[('staff', 0.542), ('service', 0.4949), ('nature', 0.1282)]"
Anil has very good fashion sense and helped me get right fit for me,"[('anil', 0.5764), ('fashion', 0.4915), ('fit', 0.2721)]"
Good  ,"[('good', 1.0)]"
Staff Sarvice Good,"[('sarvice', 0.7454), ('staff', 0.6545), ('good', 0.1668)]"
Good service and good product ,"[('service', 0.5824), ('product', 0.4517), ('good', 0.2911)]"
excellent ,"[('excellent', 1.0)]"
Plz keep exciting offers  ,"[('offers', 0.5684), ('exciting', 0.4529), ('plz', 0.2965)]"
Need to update price as its going very high and the products are same . So plz decrease price to get good marke  If any more queries for feedback plz call me any tune ,"[('price', 0.3885), ('decrease', 0.3349), ('feedback', 0.3186)]"
Good store,"[('store', 0.748), ('good', 0.3112)]"
Nice Store and nice service by Arun,"[('arun', 0.6784), ('store', 0.4), ('service', 0.299)]"
Keep it up ,[]
Awesome experience with all members,"[('members', 0.5236), ('experience', 0.4665), ('awesome', 0.3717)]"
Variety of choices,"[('choices', 0.7223), ('variety', 0.6744)]"
Good collection  Elegant behaviour  ,"[('collection', 0.6999), ('elegant', 0.4503), ('behaviour', 0.1579)]"
Very good Service & Quality  ,"[('quality', 0.6399), ('service', 0.5379), ('good', 0.2305)]"
Good darshita,"[('darshita', 0.8804), ('good', 0.37)]"
"Yaron was extremely helpful, knowledgeable and very polite! Excellent Sales Associate. ","[('yaron', 0.6293), ('sales', 0.2741), ('associate', 0.2599)]"
Superb ,"[('superb', 1.0)]"
Perfect ,"[('perfect', 1.0)]"
V v good   Yogesh gosai ,"[('gosai', 0.6182), ('yogesh', 0.4373), ('good', 0.2989)]"
Excellent ,"[('excellent', 1.0)]"
Nice,"[('nice', 1.0)]"
Good service and products ,"[('service', 0.6474), ('products', 0.5623), ('good', 0.2432)]"
Good mani,"[('mani', 0.7753), ('good', 0.5012)]"
Reduce the cost if possible ....or give more offers ...,"[('offers', 0.3837), ('reduce', 0.3831), ('cost', 0.3784)]"
Good,"[('good', 1.0)]"
Good ,"[('good', 1.0)]"
Better sizes should be available with chinos,"[('chinos', 0.6435), ('sizes', 0.5084), ('available', 0.2112)]"
Color of chinos fade very quickly. Would be great if you guys can get this sorted ,"[('chinos', 0.4881), ('fade', 0.4694), ('color', 0.3145)]"
Nice ,"[('nice', 1.0)]"
Nice,"[('nice', 1.0)]"
Great experience ,"[('experience', 0.6299), ('great', 0.4188)]"
Good,"[('good', 1.0)]"
Mitesh Makawana... Good service ,"[('makawana', 0.7086), ('service', 0.4217), ('mitesh', 0.3698)]"
Rohit who attended me was very helpful ,"[('rohit', 0.6071), ('attended', 0.5249), ('helpful', 0.2748)]"
Nice,"[('nice', 1.0)]"
Good service ,"[('service', 0.6827), ('good', 0.4384)]"
Moj avi gay ,"[('moj', 0.7069), ('avi', 0.5749), ('gay', 0.5121)]"
Good service inore bit levis,"[('service', 0.5445), ('levis', 0.5321), ('inore', 0.3549)]"
Nice store clean showroom s very smart all staff ,"[('showroom', 0.5382), ('staff', 0.5094), ('store', 0.3668)]"
It’s great already. Thanks,"[('thanks', 0.3432), ('great', 0.2727)]"
It was good,"[('good', 0.5784)]"
Very nice advice given. And very good behavior,"[('advice', 0.5678), ('behavior', 0.3926), ('good', 0.2072)]"
"Nothing, store has already good standard and we can compare with erupuan standards","[('standards', 0.5336), ('standard', 0.5195), ('erupuan', 0.4435)]"
Anil Goria is excellent person to guide you for shopping. ,"[('goria', 0.5878), ('anil', 0.4838), ('shopping', 0.441)]"
Good S.M Jyoti ,"[('jyoti', 0.7497), ('good', 0.3174)]"
Good ????,"[('good', 0.4885)]"
Ok ,"[('ok', 1.0)]"
Great experience ,"[('experience', 0.6299), ('great', 0.4188)]"
More offers ,"[('offers', 0.8638)]"
Need more good collection in men’s half sleeve shirt Asha  is good,"[('sleeve', 0.5492), ('shirt', 0.4869), ('collection', 0.4456)]"
Your cloth febric is good. I like it..,"[('febric', 0.5512), ('cloth', 0.4352), ('good', 0.1421)]"
The man who is in ahmedabad one mall levis store name is rahul dave... he is very humble to serve us the best matching. Thanks to levis and the special thanks to rahul dave.,"[('rahul', 0.5442), ('ahmedabad', 0.4947), ('levis', 0.4103)]"
More options  please ,"[('options', 0.7639)]"
All good,"[('good', 0.4393)]"
Good service ?? ,"[('service', 0.6284), ('good', 0.2731)]"
Nice ,"[('nice', 1.0)]"
Good ,"[('good', 1.0)]"
.,[]
Nothing that I can think of,"[('think', 0.3689)]"
Need to have more Casual shirt designs ,"[('shirt', 0.5305), ('designs', 0.4719), ('casual', 0.4614)]"
Tanveer give nice servy,"[('tanveer', 0.7277), ('servy', 0.5941), ('nice', 0.2176)]"
Good experience to visit this store and staff behave are aal so very good ,"[('aal', 0.4969), ('staff', 0.3755), ('experience', 0.3581)]"
Everything is perfect  Clothes are awesome ??????,"[('clothes', 0.5466), ('perfect', 0.2111), ('awesome', 0.1122)]"
Siddharth was very helpful ,"[('siddharth', 0.6767), ('helpful', 0.3867)]"
Please stitch polo t shirt of 3xl plus size. Would be a forever customer if so. ,"[('shirt', 0.5084), ('stitch', 0.4566), ('polo', 0.4388)]"
Fantastic and very friendly service by Anil Goria!!,"[('goria', 0.5118), ('anil', 0.425), ('service', 0.4132)]"
Keep it up ,[]
Excellent ,"[('excellent', 1.0)]"
Excellent experience ,"[('experience', 0.645), ('excellent', 0.5477)]"
Good service razik ,"[('razik', 0.758), ('service', 0.5047), ('good', 0.2825)]"
good razik ,"[('razik', 0.8452), ('good', 0.4465)]"
"Mr. Amit & Mr. Rohit  you treat customers very  well  , Good experience  from karad branch.  Keep it up.","[('karad', 0.4421), ('customers', 0.4244), ('rohit', 0.4063)]"
"Range of cargo pants, shirts, & ladies tops.","[('cargo', 0.5257), ('pants', 0.4826), ('shirts', 0.4506)]"
"I recently purchased a top for my daughter and had a wonderful shopping experience.the staff were attentive , knowledgeable. Pratiksha provided exceptional customer service, answering all my questions and making recommendations good team","[('pratiksha', 0.3765), ('shopping', 0.3542), ('staff', 0.348)]"
better,"[('better', 1.0)]"
"Very supportive Team, suggest a Proper denim according to my need.. ","[('denim', 0.635), ('supportive', 0.4032), ('team', 0.3429)]"
,[]
"Overall is the best,,","[('overall', 0.6517), ('best', 0.4355)]"
"Loved shopping here. I didn't get my size in one shirt so couldn't buy it, that's all..  wish you could ensure that the more common sizes like S are available in store.","[('shirt', 0.383), ('shopping', 0.3663), ('sizes', 0.3655)]"
Good,"[('good', 1.0)]"
Ok,"[('ok', 1.0)]"
"Very good service, very much cooperative staff.","[('service', 0.4842), ('cooperative', 0.4828), ('staff', 0.4129)]"
Thanks its very helpful full mrdarshan who give us spot and very coumer friendly ,"[('mrdarshan', 0.5256), ('friendly', 0.3676), ('thanks', 0.3053)]"
Excellent,"[('excellent', 1.0)]"
Update new stock regular over all best ,"[('stock', 0.4822), ('regular', 0.4288), ('update', 0.3372)]"
Good ,"[('good', 1.0)]"
Colour this not stock ,"[('stock', 0.6295), ('colour', 0.5052)]"
Goodbye ,"[('goodbye', 1.0)]"
I met Laxmi during my purchase and she was excellent..very polite and helpful......we need such people in business......,"[('laxmi', 0.5738), ('polite', 0.2897), ('met', 0.2802)]"
Ok,"[('ok', 1.0)]"
Asha was very good,"[('asha', 0.6814), ('good', 0.1888)]"
Good,"[('good', 1.0)]"
Everything is perfect  Mr Sharik is too good person will never ever leave empty handed . Personal recommendation. ,"[('sharik', 0.6119), ('handed', 0.2894), ('mr', 0.2815)]"
Good sarvice ,"[('sarvice', 0.8547), ('good', 0.2977)]"
Helpful staff   ,"[('staff', 0.809), ('helpful', 0.4834)]"
"Want to see more nice color , nice pattern,  nice pattern  in full sleeve t-shirts . Plain shirts in soft material.","[('shirts', 0.6161), ('sleeve', 0.4189), ('color', 0.3819)]"
Sanjay bhai is very good sales man,"[('sanjay', 0.6846), ('bhai', 0.5692), ('sales', 0.4222)]"
good bye,"[('bye', 0.8461), ('good', 0.4164)]"
Defective product process should be improved.,"[('defective', 0.5635), ('improved', 0.3835), ('process', 0.3714)]"
Ntg everthing is fine ,"[('ntg', 0.7881), ('fine', 0.3391), ('everthing', 0.33)]"
Good options for cargos … ,"[('cargos', 0.8056), ('options', 0.3729), ('good', 0.1115)]"
Good work ,"[('work', 0.4536), ('good', 0.4446)]"
Good,"[('good', 1.0)]"
good,"[('good', 1.0)]"
Good service Namr6,"[('namr6', 0.7784), ('service', 0.53), ('good', 0.2682)]"
Good service Namrata ,"[('namrata', 0.7897), ('service', 0.5275), ('good', 0.2464)]"
More variety would be appropriated,"[('variety', 0.6958), ('appropriated', 0.3261)]"
Priyanka,"[('priyanka', 1.0)]"
Would appreciate if the sizes are according to Indian body types. American standards are not universal :),"[('sizes', 0.4683), ('indian', 0.3601), ('standards', 0.2416)]"
Good sevice,"[('sevice', 0.765), ('good', 0.3524)]"
Nothing ,[]
Offers are confusing to end customer ,"[('offers', 0.5274), ('customer', 0.4012), ('confusing', 0.3644)]"
Bo fine,"[('bo', 0.7903), ('fine', 0.5779)]"
Very good  ,"[('good', 0.7071)]"
Super good,"[('good', 0.6406), ('super', 0.5888)]"
Good rewati,"[('rewati', 0.8216), ('good', 0.417)]"
Good rewati,"[('rewati', 0.8216), ('good', 0.417)]"
Better tops for men needed,"[('tops', 0.5554), ('men', 0.4304), ('better', 0.3198)]"
Great service,"[('service', 0.6395), ('great', 0.4811)]"
Good service by dipak  ,"[('dipak', 0.6262), ('service', 0.4727), ('good', 0.1913)]"
Ok,"[('ok', 1.0)]"
From my point of view there is nothing  that need to improve everything is very good ?? excellent quality of the product ,"[('improve', 0.5841), ('quality', 0.4264), ('product', 0.3096)]"
"Service was good, especially Sanjay ","[('sanjay', 0.6532), ('service', 0.3876), ('especially', 0.2148)]"
Ani show us everything and petfect also,"[('ani', 0.6004), ('petfect', 0.559)]"
Good,"[('good', 1.0)]"
Good service  ,"[('service', 0.6827), ('good', 0.4384)]"
Experience was good,"[('experience', 0.7625), ('good', 0.2993)]"
Amazing customer service. ,"[('customer', 0.6057), ('service', 0.5809), ('amazing', 0.3659)]"
-,[]
Good service,"[('service', 0.6827), ('good', 0.4384)]"
Good ,"[('good', 1.0)]"
Good service ifjan ,"[('ifjan', 0.7399), ('service', 0.5165), ('good', 0.322)]"
Mr. Pavan has the best sales skills .,"[('pavan', 0.6218), ('sales', 0.5104), ('skills', 0.3043)]"
Very good experience ,"[('experience', 0.6577), ('good', 0.3294)]"
nothing,[]
Tosif was really helpful  and was knowledgeable with his work,"[('tosif', 0.7205), ('knowledgeable', 0.29), ('helpful', 0.2156)]"
Best fitting,"[('fitting', 0.8229), ('best', 0.4024)]"
Good,"[('good', 1.0)]"
All good,"[('good', 0.4393)]"
Good,"[('good', 1.0)]"
good ,"[('good', 1.0)]"
Staff is friendly ,"[('staff', 0.7412), ('friendly', 0.5251)]"
Bring more good offers ,"[('offers', 0.5389), ('bring', 0.3771), ('good', 0.1941)]"
Very good collection  ,"[('collection', 0.6643), ('good', 0.3414)]"
Good,"[('good', 1.0)]"
All good,"[('good', 0.4393)]"
Gift vouchers  availability,"[('vouchers', 0.7696), ('gift', 0.4786), ('availability', 0.3357)]"
Good,"[('good', 1.0)]"
Nice collection ,"[('collection', 0.6719), ('nice', 0.4632)]"
Good,"[('good', 1.0)]"
Need wider collection for women,"[('collection', 0.5504), ('women', 0.477), ('wider', 0.3622)]"
Jishan a gud executive ur store  Over all gud guys ,"[('jishan', 0.7039), ('gud', 0.5397), ('store', 0.4283)]"
Cery good staf name is raj swarnkar infinity malad very very appreciated his work cheers to the infinity levis,"[('levis', 0.4466), ('swarnkar', 0.4379), ('cery', 0.4109)]"
Nice,"[('nice', 1.0)]"
All good,"[('good', 0.4393)]"
Siddharth was amazing and gave exactly what I wanted ,"[('siddharth', 0.6969), ('exactly', 0.185), ('gave', 0.1736)]"
Ok,"[('ok', 1.0)]"
Nice,"[('nice', 1.0)]"
"Need better  discount offer by Levi’s and need more trendy styles in jeans.   Misbah’s service was really nice, he was really helpful. ","[('jeans', 0.4425), ('levi', 0.4401), ('misbah', 0.4148)]"
"Yusuf provided excellent service during my visit to the Levi’s showroom. He was knowledgeable, attentive, and helped me find exactly what I was looking for. His friendly and professional approach made the shopping experience smooth and enjoyable.","[('yusuf', 0.5723), ('shopping', 0.3743), ('levi', 0.3442)]"
Good,"[('good', 1.0)]"
Add more variety and colors,"[('variety', 0.5599), ('colors', 0.5581), ('add', 0.289)]"
Great service. Nice staff. Needed it in urgency and they were very supportive. Good collection as well. ,"[('staff', 0.4267), ('service', 0.4133), ('supportive', 0.3439)]"
Service is good and showroom premises is clean and stock is good ,"[('showroom', 0.4238), ('stock', 0.4067), ('premises', 0.366)]"
To make more fashion variety.,"[('fashion', 0.68), ('variety', 0.3818), ('make', 0.1998)]"
Excellent staff  Heena  Deepak  Sandeep ,"[('staff', 0.542), ('heena', 0.5316), ('deepak', 0.4827)]"
Excellent Service ,"[('service', 0.6481), ('excellent', 0.5238)]"
Good ,"[('good', 1.0)]"
Super ,"[('super', 1.0)]"
Good experience nice staff    ,"[('staff', 0.6638), ('experience', 0.4716), ('nice', 0.2064)]"
Good ,"[('good', 1.0)]"
Good ,"[('good', 1.0)]"
Good  ,"[('good', 1.0)]"
Very Good And Excellent ,"[('excellent', 0.6031), ('good', 0.485)]"
Nice clothes ,"[('clothes', 0.7158), ('nice', 0.3086)]"
Maybe some more options in women's section. Thanks!! ,"[('options', 0.4327), ('women', 0.415), ('thanks', 0.2497)]"
I liked ur inclusive approach in hiring ur salesperson.  ,"[('salesperson', 0.592), ('hiring', 0.4807), ('inclusive', 0.3496)]"
It is good,"[('good', 0.5918)]"
Stefali was very helpful. Had a lovely time shopping. Will return! ,"[('stefali', 0.541), ('helpful', 0.2404), ('return', 0.214)]"
Bablu helped us  find the right option and really upsold the products,"[('bablu', 0.571), ('products', 0.3996), ('upsold', 0.3499)]"
Everything is great. Service and tees are amazing. Nothing need to improve,"[('tees', 0.47), ('improve', 0.3809), ('service', 0.3564)]"
Good,"[('good', 1.0)]"
Good service and quality products,"[('quality', 0.6481), ('service', 0.5676), ('products', 0.5352)]"
Good S.M Jyoti,"[('jyoti', 0.7497), ('good', 0.3174)]"
,[]
So nice over all  ,"[('nice', 0.3143)]"
Very good corporative staff,"[('staff', 0.6828), ('corporative', 0.5775), ('good', 0.2342)]"
Good,"[('good', 1.0)]"
Gpd,"[('gpd', 1.0)]"
Good comfort ,"[('comfort', 0.7803), ('good', 0.4008)]"
Good and prompt response . v good service,"[('response', 0.5304), ('prompt', 0.5129), ('service', 0.5026)]"
Wonderful experience and product line at phoenix market city Levi’s showroom.. very well assisted by Ms. Jyoti.. Good gesture greetings well mannered sales person.. overall very well experience..thank u,"[('sales', 0.3938), ('market', 0.3865), ('levi', 0.3797)]"
Love it. great service from vasant didi Great experience   ,"[('vasant', 0.4861), ('service', 0.4702), ('didi', 0.3381)]"
Nothing..all good.,"[('good', 0.3749)]"
Good bhavin,"[('bhavin', 0.7909), ('good', 0.5416)]"
K,[]
Update printed shirt,"[('shirt', 0.6678), ('printed', 0.6289), ('update', 0.3535)]"
Very helpfull staff Thank you Service by heena ,"[('heena', 0.511), ('helpfull', 0.4287), ('service', 0.3773)]"
Nothing as such,[]
Good ??  ,"[('good', 0.6013)]"
Good experience ,"[('experience', 0.7718), ('good', 0.399)]"
Good ,"[('good', 1.0)]"
Ok,"[('ok', 1.0)]"
Good,"[('good', 1.0)]"
Good,"[('good', 1.0)]"
It was awesome collection  ,"[('collection', 0.595), ('awesome', 0.3445)]"
